FP_line,FP_sample,FP_latitude,FP_longitude,FP_T21,FP_T31,FP_MeanT21,FP_MeanT31,FP_MeanDT,FP_MAD_T21,FP_MAD_T31,FP_MAD_DT,FP_power,FP_AdjCloud,FP_AdjWater,FP_NumValid,FP_confidence
1283,572,67.3053,-146.033,335.898,300.854,304.246,296.911,7.3352,7.87612,2.72136,5.15476,39.9652,0,0,17,66
1283,573,67.3022,-146.01,327.638,296.708,302.554,296.536,6.01869,6.70199,2.34096,4.36103,28.1925,0,0,17,59
1284,574,67.2905,-145.995,328.286,299.337,303.266,296.346,6.91996,6.44937,1.5193,4.93007,28.5243,0,0,15,52
1284,575,67.2874,-145.972,338.85,297.284,301.378,295.941,5.43749,4.96154,1.41621,3.61058,47.5749,0,0,17,89
1285,570,67.2941,-146.094,345.115,302.778,310.176,299.108,11.0685,6.11162,2.01163,4.83146,52.182,0,0,18,91
1285,572,67.288,-146.048,335.417,298.445,311.811,299.626,12.1851,4.49736,1.91192,3.65208,31.9448,0,0,15,82
1285,574,67.2818,-146.003,349.645,299.595,308.708,298.185,10.5227,7.73147,2.4651,5.39695,63.4274,0,0,14,90
1285,575,67.2788,-145.98,360.806,299.163,306.589,297.562,9.0265,8.08666,2.6743,5.51107,94.0928,0,0,16,100
1286,562,67.3097,-146.283,340.335,300.652,304.74,297.636,7.10441,6.86867,2.56656,5.42277,47.9877,0,0,21,84
1287,563,67.298,-146.268,328.139,295.969,304.342,296.865,7.4769,6.23784,2.30598,4.71862,27.6118,0,0,19,58
1287,566,67.2889,-146.2,324.609,297.948,306.156,298.441,7.71516,6.08352,2.49971,4.50805,20.8763,0,0,21,24
1287,567,67.2859,-146.177,323.681,298.56,306.801,299.217,7.58381,5.49328,2.75667,3.80394,19.003,0,0,22,31
1287,568,67.2828,-146.155,327.823,299.289,308.081,299.881,8.19977,5.6229,3.09751,4.18788,23.6208,0,0,21,50
1287,576,67.2584,-145.973,339.906,304.242,311.813,300.718,11.0946,5.51488,2.41697,3.70475,39.9338,0,0,15,83
1287,578,67.2522,-145.928,343.113,302.714,305.788,298.67,7.11823,5.23415,2.23637,3.16794,51.916,0,0,21,92
1287,579,67.2492,-145.905,330.371,298.627,303.58,297.958,5.62183,4.79624,1.73831,3.14747,31.3027,0,0,22,81
1288,574,67.2558,-146.026,350.923,304.657,316.741,302.456,14.2848,3.12632,2.0057,2.53416,57.9346,0,0,15,96
1288,575,67.2528,-146.004,343.965,303.204,315.607,302.526,13.0808,3.27221,1.81483,2.86834,43.8634,0,0,17,92
1289,560,67.2896,-146.351,373.698,308.851,307,298.949,8.0513,8.79009,4.23127,5.40652,137.185,0,0,18,100
1289,561,67.2866,-146.329,350.566,297.32,308.319,298.602,9.71753,8.4052,4.01064,5.77943,66.5995,0,0,16,88
